month,mage,child_gender,mrace,birth_count
2016-03,30  -  34,F,MALAYS,103
2016-03,30  -  34,M,MALAYS,101
2016-03,30  -  34,F,OTHERS,69
2016-03,30  -  34,M,OTHERS,109
2016-03,35  -  39,F,CHINESE,229
2016-03,35  -  39,M,CHINESE,269
2016-03,35  -  39,F,INDIANS,29
2016-03,35  -  39,M,INDIANS,29
2016-03,35  -  39,F,MALAYS,36
2016-03,35  -  39,M,MALAYS,26
2016-03,35  -  39,F,OTHERS,58
2016-03,35  -  39,M,OTHERS,85
2016-03,40  -  44,F,CHINESE,57
2016-03,40  -  44,M,CHINESE,50
2016-03,40  -  44,F,INDIANS,2
2016-03,40  -  44,M,INDIANS,4
2016-03,40  -  44,F,MALAYS,7
2016-03,40  -  44,M,MALAYS,7
2016-03,40  -  44,F,OTHERS,7
2016-03,40  -  44,M,OTHERS,10
2016-03,45  -  49,F,CHINESE,2
2016-03,45  -  49,M,CHINESE,2
2016-03,45  -  49,F,INDIANS,1
2016-03,45  -  49,F,OTHERS,1
2016-03,45  -  49,M,OTHERS,2
2016-03,50  -  54,M,OTHERS,1
2016-04,15  -  19,F,CHINESE,5
2016-04,15  -  19,M,CHINESE,4
2016-04,15  -  19,F,INDIANS,2
2016-04,15  -  19,F,MALAYS,5
2016-04,15  -  19,M,MALAYS,10
2016-04,15  -  19,F,OTHERS,1
2016-04,15  -  19,M,OTHERS,1
2016-04,20  -  24,F,CHINESE,45
2016-04,20  -  24,M,CHINESE,41
2016-04,20  -  24,F,INDIANS,5
2016-04,20  -  24,M,INDIANS,15
2016-04,20  -  24,F,MALAYS,34
2016-04,20  -  24,M,MALAYS,29
2016-04,20  -  24,F,OTHERS,6
2016-04,20  -  24,M,OTHERS,9
2016-04,25  -  29,F,CHINESE,230
2016-04,25  -  29,M,CHINESE,235
2016-04,25  -  29,F,INDIANS,56
2016-04,25  -  29,M,INDIANS,44
2016-04,25  -  29,F,MALAYS,92
2016-04,25  -  29,M,MALAYS,111
2016-04,25  -  29,F,OTHERS,33
2016-04,25  -  29,M,OTHERS,45
2016-04,30  -  34,F,CHINESE,434
2016-04,30  -  34,M,CHINESE,446
2016-04,30  -  34,F,INDIANS,75
2016-04,30  -  34,M,INDIANS,79
2016-04,30  -  34,F,MALAYS,103
2016-04,30  -  34,M,MALAYS,94
2016-04,30  -  34,F,OTHERS,91
2016-04,30  -  34,M,OTHERS,88
2016-04,35  -  39,F,CHINESE,225
2016-04,35  -  39,M,CHINESE,268
2016-04,35  -  39,F,INDIANS,31
2016-04,35  -  39,M,INDIANS,32
2016-04,35  -  39,F,MALAYS,42
2016-04,35  -  39,M,MALAYS,33
2016-04,35  -  39,F,OTHERS,60
2016-04,35  -  39,M,OTHERS,82
2016-04,40  -  44,F,CHINESE,25
2016-04,40  -  44,M,CHINESE,44
2016-04,40  -  44,F,INDIANS,8
2016-04,40  -  44,M,INDIANS,4
2016-04,40  -  44,F,MALAYS,14
2016-04,40  -  44,M,MALAYS,7
2016-04,40  -  44,F,OTHERS,10
2016-04,40  -  44,M,OTHERS,13
2016-04,45  -  49,F,INDIANS,1
2016-04,45  -  49,M,INDIANS,2
2016-04,45  -  49,F,OTHERS,1
2016-05,15  -  19,F,CHINESE,2
2016-05,15  -  19,M,CHINESE,8
2016-05,15  -  19,F,INDIANS,2
2016-05,15  -  19,M,INDIANS,2
2016-05,15  -  19,F,MALAYS,5
2016-05,15  -  19,M,MALAYS,6
2016-05,15  -  19,F,OTHERS,2
2016-05,20  -  24,F,CHINESE,28
2016-05,20  -  24,M,CHINESE,42
2016-05,20  -  24,F,INDIANS,9
2016-05,20  -  24,M,INDIANS,11
2016-05,20  -  24,F,MALAYS,30
2016-05,20  -  24,M,MALAYS,52
2016-05,20  -  24,F,OTHERS,13
2016-05,20  -  24,M,OTHERS,10
2016-05,25  -  29,F,CHINESE,223
2016-05,25  -  29,M,CHINESE,241
2016-05,25  -  29,F,INDIANS,31
2016-05,25  -  29,M,INDIANS,50
2016-05,25  -  29,F,MALAYS,106
2016-05,25  -  29,M,MALAYS,117
2016-05,25  -  29,F,OTHERS,39
2016-05,25  -  29,M,OTHERS,47
2016-05,30  -  34,F,CHINESE,414
2016-05,30  -  34,M,CHINESE,450
2016-05,30  -  34,F,INDIANS,87
2016-05,30  -  34,M,INDIANS,94
2016-05,30  -  34,F,MALAYS,83
2016-05,30  -  34,M,MALAYS,105
2016-05,30  -  34,F,OTHERS,98
2016-05,30  -  34,M,OTHERS,85
2016-05,35  -  39,F,CHINESE,238
2016-05,35  -  39,M,CHINESE,254
2016-05,35  -  39,F,INDIANS,41
2016-05,35  -  39,M,INDIANS,37
2016-05,35  -  39,F,MALAYS,41
2016-05,35  -  39,M,MALAYS,39
